               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.019344,           0.0049452,           0.0055419,             0.79957,             0.80532,             0.83619,             0.56529,             0.01994,            0.004548,            0.016216,           0.0044693,           0.0044693,           0.0044693
                 127,            0.019277,           0.0049481,            0.005297,             0.80013,             0.80693,             0.83817,             0.56627,            0.019941,           0.0045496,            0.016215,           0.0044114,           0.0044114,           0.0044114
                 128,            0.019003,           0.0048968,           0.0049817,             0.81028,             0.79736,             0.83827,             0.56614,            0.019944,           0.0045497,            0.016216,           0.0043539,           0.0043539,           0.0043539
                 129,            0.019107,           0.0049168,           0.0046205,             0.80998,             0.80133,             0.83882,             0.56677,            0.019928,           0.0045502,             0.01625,           0.0042969,           0.0042969,           0.0042969
                 130,            0.018999,           0.0049011,           0.0050143,             0.79933,             0.81228,              0.8395,             0.56755,            0.019911,             0.00455,            0.016244,           0.0042402,           0.0042402,           0.0042402
                 131,            0.018987,           0.0048956,           0.0054363,             0.80332,             0.80799,             0.83961,             0.56806,            0.019933,           0.0045471,            0.016235,            0.004184,            0.004184,            0.004184
                 132,            0.018961,           0.0048771,           0.0048302,             0.81073,             0.80289,             0.83941,             0.56857,            0.019905,           0.0045463,             0.01625,           0.0041283,           0.0041283,           0.0041283
                 133,            0.018642,           0.0048308,            0.004517,             0.81118,              0.8038,              0.8398,             0.56951,            0.019899,           0.0045452,            0.016248,            0.004073,            0.004073,            0.004073
                 134,              0.0185,           0.0047777,            0.004423,             0.80756,             0.80778,             0.84035,             0.56984,            0.019888,           0.0045458,             0.01624,           0.0040182,           0.0040182,           0.0040182
                 135,            0.018521,           0.0048203,           0.0040931,             0.80711,             0.80958,             0.84108,             0.57033,            0.019909,           0.0045417,            0.016252,           0.0039638,           0.0039638,           0.0039638
                 136,            0.018282,           0.0047713,           0.0039256,             0.79418,             0.82452,             0.84143,             0.57129,            0.019868,           0.0045412,            0.016247,             0.00391,             0.00391,             0.00391
                 137,            0.018287,           0.0047841,           0.0041446,              0.8009,             0.81996,             0.84213,              0.5725,            0.019836,           0.0045409,            0.016238,           0.0038567,           0.0038567,           0.0038567
                 138,            0.018275,           0.0047792,            0.004069,             0.80182,             0.82061,             0.84267,             0.57168,            0.019833,            0.004541,             0.01626,           0.0038039,           0.0038039,           0.0038039
                 139,            0.018354,           0.0047682,           0.0038113,             0.80564,             0.81714,             0.84343,             0.57259,            0.019826,           0.0045419,            0.016287,           0.0037517,           0.0037517,           0.0037517
                 140,            0.018338,           0.0047801,           0.0040765,             0.79795,             0.82856,             0.84458,             0.57368,            0.019825,           0.0045411,              0.0163,              0.0037,              0.0037,              0.0037
                 141,            0.018195,           0.0047723,             0.00425,             0.80038,              0.8274,             0.84576,             0.57417,            0.019807,           0.0045399,            0.016312,           0.0036489,           0.0036489,           0.0036489
                 142,            0.017855,           0.0047107,           0.0037232,             0.79814,             0.83015,             0.84577,             0.57488,            0.019797,           0.0045421,            0.016336,           0.0035983,           0.0035983,           0.0035983
                 143,              0.0179,           0.0047058,           0.0035646,             0.80473,             0.82432,             0.84595,             0.57539,            0.019799,           0.0045439,            0.016379,           0.0035484,           0.0035484,           0.0035484
                 144,            0.017864,           0.0046933,           0.0032799,             0.80668,             0.82341,             0.84595,             0.57582,            0.019771,            0.004545,            0.016424,            0.003499,            0.003499,            0.003499
                 145,            0.017597,           0.0046815,           0.0032433,             0.81101,             0.82123,             0.84611,             0.57634,            0.019792,           0.0045429,            0.016451,           0.0034503,           0.0034503,           0.0034503
                 146,            0.017556,           0.0046267,           0.0026903,              0.8116,             0.82067,             0.84642,             0.57703,            0.019745,           0.0045419,            0.016468,           0.0034022,           0.0034022,           0.0034022
                 147,             0.01765,           0.0046518,           0.0033957,             0.81197,             0.81886,             0.84605,             0.57678,            0.019738,            0.004545,            0.016486,           0.0033548,           0.0033548,           0.0033548
                 148,            0.017435,           0.0046323,           0.0035872,             0.79887,              0.8327,             0.84627,             0.57759,            0.019734,           0.0045437,            0.016528,           0.0033079,           0.0033079,           0.0033079
                 149,            0.017436,           0.0046405,           0.0032598,             0.81021,             0.82238,             0.84604,             0.57778,            0.019698,           0.0045463,            0.016597,           0.0032618,           0.0032618,           0.0032618
                 150,             0.01735,           0.0046253,           0.0031867,             0.80987,             0.82333,             0.84604,             0.57828,            0.019698,           0.0045439,            0.016633,           0.0032163,           0.0032163,           0.0032163
                 151,            0.016977,           0.0045609,           0.0029264,             0.81215,             0.82216,             0.84628,             0.57825,            0.019672,           0.0045461,            0.016677,           0.0031716,           0.0031716,           0.0031716
